order_id,status,timestamp
6e446c34-9076-49fc-b59e-3054e8b46846,ALLOCATED,2026-04-27T12:02:57.330288
73afd0cb-a3e3-4116-b64c-be2d353bbe6f,ALLOCATED,2026-04-27T12:02:57.339006
f644da4b-8c7a-4874-b050-2bfe443148d2,ALLOCATED,2026-04-27T12:02:57.362917
6b7d26c6-ce09-4251-8c9a-a6f235bde51c,ALLOCATED,2026-04-27T12:02:57.387131
eaa4353f-bea3-4afd-9467-1cf427b7ba94,ALLOCATED,2026-04-27T12:02:57.411715
3c82e84c-9492-43fa-a007-7086b103ea9a,ALLOCATED,2026-04-27T12:02:57.437978
6988ef1a-9e3a-456b-8a9a-4840dd8f314d,ALLOCATED,2026-04-27T12:02:57.463938
604b9802-6b8b-4038-8fb5-99a094a87144,ALLOCATED,2026-04-27T12:02:57.488055
10bd433c-76d5-4878-ad54-b079706e4463,ALLOCATED,2026-04-27T12:02:57.515581
3860682a-af0a-410a-826b-8aa82f24a281,ALLOCATED,2026-04-27T12:02:57.534550
323bd5e4-b959-45f0-88d8-7a89ae3f1a3c,ALLOCATED,2026-04-27T12:06:59.810588
5481b0d4-b38c-407e-b836-8509b877472e,CREATED,2026-04-27T12:24:16.370771
